time_(s) Channel_Number voltage_(v) current_(a) energy_(J)
0.08902239799499512 1 10.61 0.911 33222.003
0.19051766395568848 1 10.61 0.911 33226.602
0.28853917121887207 1 10.61 0.911 33231.201
0.3764951229095459 1 10.71 0.911 33235.8
0.4765055179595947 1 10.81 0.911 33240.408
0.577040433883667 1 10.61 0.911 33245.007
0.7011306285858154 1 10.71 0.911 33249.606
0.8239092826843262 1 10.51 0.911 33254.205
0.9469666481018066 1 10.31 0.911 33258.813
1.0682640075683594 1 10.71 0.911 33263.412
1.1665163040161133 1 10.71 0.911 33268.011
1.2840161323547363 1 11.01 0.911 33272.713
1.3908896446228027 1 10.81 0.911 33277.683
1.5107660293579102 1 10.61 0.911 33282.282
1.9175143241882324 1 10.71 0.911 33286.881
2.426887035369873 1 10.61 0.911 33291.489
2.938401222229004 1 10.61 0.911 33296.088
3.462388277053833 1 10.71 0.911 33300.687
3.9670348167419434 1 10.81 0.911 33305.286
4.4830474853515625 1 10.91 0.911 33309.894
5.0077667236328125 1 10.41 0.911 33314.493
5.520063638687134 1 10.51 0.911 33319.092
6.015643358230591 1 10.61 0.911 33323.7
6.5095813274383545 1 10.71 0.911 33328.299
7.017071962356567 1 10.41 0.911 33332.898
7.5280890464782715 1 10.61 0.911 33337.497
8.052013397216797 1 10.61 0.911 33342.105
8.578081846237183 1 10.61 0.911 33346.704
9.07293152809143 1 10.61 0.911 33351.303
9.583096981048584 1 10.71 0.911 33355.902
10.093213081359863 1 10.61 0.911 33360.51
10.601172685623169 1 10.61 0.911 33365.109
11.126141548156738 1 10.81 0.911 33369.708
11.635644912719727 1 10.51 0.911 33374.316
12.16215181350708 1 10.81 0.911 33378.915
12.651607751846313 1 10.51 0.911 33383.514
13.167603969573975 1 10.61 0.911 33388.113
13.692248344421387 1 10.81 0.911 33392.721
14.186156034469604 1 10.41 0.911 33397.32
14.710813283920288 1 10.61 0.911 33401.919
15.222742080688477 1 10.51 0.911 33406.518
15.732746839523315 1 10.81 0.911 33411.126
16.22772741317749 1 10.61 0.911 33415.725
16.720364093780518 1 10.71 0.911 33420.324
17.242716312408447 1 10.61 0.911 33424.932
